country,year,oil_production_barrels,region
Other CIS,1975,0, CIS
Other CIS,1976,0, CIS
Other CIS,1977,0, CIS
Other CIS,1978,0, CIS
Other CIS,1979,0, CIS
Other CIS,1980,0, CIS
Other CIS,1981,0, CIS
Other CIS,1982,0, CIS
Other CIS,1983,0, CIS
Other CIS,1984,0, CIS
Other CIS,1985,52.51, CIS
Other CIS,1986,52.31, CIS
Other CIS,1987,51.22, CIS
Other CIS,1988,50.2, CIS
Other CIS,1989,48.85, CIS
Other CIS,1990,47.16, CIS
Other CIS,1991,45.2, CIS
Other CIS,1992,43.9, CIS
Other CIS,1993,43.27, CIS
Other CIS,1994,42.39, CIS
Other CIS,1995,41.04, CIS
Other CIS,1996,39.34, CIS
Other CIS,1997,38.71, CIS
Other CIS,1998,38.56, CIS
Other CIS,1999,38.74, CIS
Other CIS,2000,38.62, CIS
Other CIS,2001,38.87, CIS
Other CIS,2002,38.75, CIS
Other CIS,2003,38.14, CIS
Other CIS,2004,37.84, CIS
Other CIS,2005,37.68, CIS
Other CIS,2006,37.49, CIS
Other CIS,2007,37.09, CIS
Other CIS,2008,36.64, CIS
Other CIS,2009,36.47, CIS
Other CIS,2010,36.2, CIS
Other CIS,2011,35.99, CIS
Other CIS,2012,35.28, CIS
Other CIS,2013,35.09, CIS
Other CIS,2014,35.03, CIS
Other CIS,2015,35.53, CIS
Other CIS,2016,36.11, CIS
Other CIS,2017,36.86, CIS
Other CIS,2018,37.83, CIS
Russian Federation,1965,, CIS
Russian Federation,1966,, CIS
Russian Federation,1967,, CIS
Russian Federation,1968,, CIS
Russian Federation,1969,, CIS
Russian Federation,1970,, CIS
Russian Federation,1971,, CIS
Russian Federation,1972,, CIS
Russian Federation,1973,, CIS
Russian Federation,1974,, CIS
Russian Federation,1975,, CIS
Russian Federation,1976,, CIS
Russian Federation,1977,, CIS
Russian Federation,1978,, CIS
Russian Federation,1979,, CIS
Russian Federation,1980,, CIS
Russian Federation,1981,, CIS
Russian Federation,1982,, CIS
Russian Federation,1983,, CIS
Russian Federation,1984,, CIS
Russian Federation,1985,10862.59, CIS
Russian Federation,1986,11246.88, CIS
Russian Federation,1987,11416.33, CIS
Russian Federation,1988,11372.76, CIS
Russian Federation,1989,11070.06, CIS
Russian Federation,1990,10342.44, CIS
Russian Federation,1991,9263.7, CIS
Russian Federation,1992,7978.19, CIS
Russian Federation,1993,7118.86, CIS
Russian Federation,1994,6370.72, CIS
Russian Federation,1995,6235.78, CIS
Russian Federation,1996,6061.59, CIS
Russian Federation,1997,6170.67, CIS
Russian Federation,1998,6110, CIS
Russian Federation,1999,6118.78, CIS
Russian Federation,2000,6582.84, CIS
Russian Federation,2001,7105.86, CIS
Russian Federation,2002,7754.79, CIS
Russian Federation,2003,8602.48, CIS
Russian Federation,2004,9335.08, CIS
Russian Federation,2005,9597.66, CIS
Russian Federation,2006,9833.51, CIS
Russian Federation,2007,10057.14, CIS
Russian Federation,2008,9964.51, CIS
Russian Federation,2009,10152.26, CIS
Russian Federation,2010,10378.62, CIS
Russian Federation,2011,10533.36, CIS
Russian Federation,2012,10655.73, CIS
Russian Federation,2013,10806.84, CIS
Russian Federation,2014,10860.09, CIS
Russian Federation,2015,11006.68, CIS
Russian Federation,2016,11268.79, CIS
Russian Federation,2017,11254.69, CIS
Russian Federation,2018,11437.8, CIS
Turkmenistan,1965,, CIS
Turkmenistan,1966,, CIS
Turkmenistan,1967,, CIS
Turkmenistan,1968,, CIS
Turkmenistan,1969,, CIS
Turkmenistan,1970,, CIS
Turkmenistan,1971,, CIS
Turkmenistan,1972,, CIS
Turkmenistan,1973,, CIS
Turkmenistan,1974,, CIS
Turkmenistan,1975,, CIS
Turkmenistan,1976,, CIS
Turkmenistan,1977,, CIS
Turkmenistan,1978,, CIS
Turkmenistan,1979,, CIS
Turkmenistan,1980,, CIS
Turkmenistan,1981,, CIS
Turkmenistan,1982,, CIS
Turkmenistan,1983,, CIS
Turkmenistan,1984,, CIS
Turkmenistan,1985,142.22, CIS
Turkmenistan,1986,137.57, CIS
Turkmenistan,1987,135.43, CIS
Turkmenistan,1988,120.1, CIS
Turkmenistan,1989,121.03, CIS
Turkmenistan,1990,119.52, CIS
Turkmenistan,1991,113.1, CIS
Turkmenistan,1992,108.8, CIS
Turkmenistan,1993,91.6, CIS
Turkmenistan,1994,86.61, CIS
Turkmenistan,1995,83.86, CIS
Turkmenistan,1996,89.66, CIS
Turkmenistan,1997,108.35, CIS
Turkmenistan,1998,128.64, CIS
Turkmenistan,1999,142.64, CIS
Turkmenistan,2000,141.75, CIS
Turkmenistan,2001,159.08, CIS
Turkmenistan,2002,178.86, CIS
Turkmenistan,2003,199.61, CIS
Turkmenistan,2004,192.97, CIS
Turkmenistan,2005,200.36, CIS
Turkmenistan,2006,175.98, CIS
Turkmenistan,2007,192.87, CIS
Turkmenistan,2008,207.89, CIS
Turkmenistan,2009,204.56, CIS
Turkmenistan,2010,209.64, CIS
Turkmenistan,2011,222.84, CIS
Turkmenistan,2012,233.51, CIS
Turkmenistan,2013,253.59, CIS
Turkmenistan,2014,256.63, CIS
Turkmenistan,2015,261.98, CIS
